,city,country,continent,total_score,cost_of_life,remote_workers,internet,fun,nightlife,safety,lack_of_crime,walkability,racism,foreigners_friendly,freedom_of_speech,female_friendly,LGBTQ_friendly,english_speaking,latitude,longitude,near_beach,photo
309,Lyon,France,Europe,3.36,3047,503.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,45.7578137,4.8320114,No,https://nomadlist.com/assets/img/places/lyon-france.jpg?1650153786
310,Salem,United States,North America,3.31,2866,17.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,44.9391565,-123.033121,Yes,https://nomadlist.com/assets/img/places/salem-or-united-states.jpg?1653005375
311,Moncton,Canada,North America,3.28,3235,142.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,46.097995,-64.80011,No,https://nomadlist.com/assets/img/places/moncton-canada.jpg?1642637247
312,Javea,Spain,Europe,3.28,3735,284.0,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,38.7893909,0.1633256,Yes,https://nomadlist.com/assets/img/places/javea-spain.jpg?1653005798
313,Changzhou,China,Asia,3.23,1100,67.0,Slow,Good,Good,Good,Good,Bad,Bad,Good,Good,Good,Good,Good,31.8122623,119.9691539,No,https://nomadlist.com/assets/img/places/changzhou-china.jpg?1652918892
314,Beacon,United States,North America,3.29,3348,83.0,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,41.504879,-73.9696822,No,https://nomadlist.com/assets/img/places/beacon-ny-united-states.jpg?1644192349
315,Valdosta,United States,North America,3.25,2837,17.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,30.8327022,-83.2784851,No,https://nomadlist.com/assets/img/places/valdosta-ga-united-states.jpg?1653005745
316,Rocky Mount,United States,North America,3.26,2936,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,35.9423833,-77.7956949,No,https://nomadlist.com/assets/img/places/rocky-mount-nc-united-states.jpg?1653005845
317,Huddersfield,United Kingdom,Europe,3.28,3080,67.0,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,53.6466645,-1.7822482,No,https://nomadlist.com/assets/img/places/huddersfield-united-kingdom.jpg?1643069262
318,Columbus Ga,United States,North America,3.25,2978,33.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,32.4610708,-84.9880449,No,https://nomadlist.com/assets/img/places/columbus-ga-united-states.jpg?1653005752
319,Nashville,United States,North America,3.28,4447,400.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,36.1622767,-86.7742984,No,https://nomadlist.com/assets/img/places/nashville-tn-united-states.jpg?1643068909
320,Rzeszow,Poland,Europe,3.22,1594,133.0,Good,Bad,Bad,Good,Good,Bad,Good,Good,Good,Good,Bad,Good,50.013064,22.01614345729431,No,https://nomadlist.com/assets/img/places/rzeszow-poland.jpg?1642529227
321,Syracuse,United States,North America,3.29,3075,175.0,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,43.0481221,-76.1474244,No,https://nomadlist.com/assets/img/places/syracuse-ny-united-states.jpg?1649808628
322,Sacramento,United States,North America,3.25,3669,246.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,38.5810606,-121.493895,No,https://nomadlist.com/assets/img/places/sacramento-ca-united-states.jpg?1652832746
323,Youngstown,United States,North America,3.27,3019,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,41.1035786,-80.6520161,No,https://nomadlist.com/assets/img/places/youngstown-oh-united-states.jpg?1653005762
324,Augusta,United States,North America,3.2,3265,33.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,33.4709714,-81.9748429,No,https://nomadlist.com/assets/img/places/augusta-ga-united-states.jpg?1653005981
325,Tyler,United States,North America,3.24,2829,17.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,32.3512601,-95.3010624,No,https://nomadlist.com/assets/img/places/tyler-tx-united-states.jpg?1653005501
326,Tijuana,Mexico,Latin America,3.15,1321,247.0,Good,Good,Good,Good,Bad,Bad,Good,Good,Bad,Good,Good,Bad,32.5010188,-116.964662,Yes,https://nomadlist.com/assets/img/places/tijuana-mexico.jpg?1654473792
327,Bristol,United Kingdom,Europe,3.2,4134,383.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,51.47091115,-2.579033402570841,No,https://nomadlist.com/assets/img/places/bristol-united-kingdom.jpg?1653005599
328,Detroit,United States,North America,3.14,3438,414.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,42.3315509,-83.0466403,No,https://nomadlist.com/assets/img/places/detroit-mi-united-states.jpg?1653005525
329,Da Lat,Vietnam,Asia,3.24,994,318.0,Good,Good,Bad,Good,Good,Good,Bad,Good,Bad,Bad,Bad,Bad,11.9402416,108.4375758,No,https://nomadlist.com/assets/img/places/da-lat-vietnam.jpg?1653005437
330,Bremen,Germany,Europe,3.22,2693,244.0,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,53.0758196,8.8071646,No,https://nomadlist.com/assets/img/places/bremen-germany.jpg?1655429079
331,Semarang,Indonesia,Asia,3.09,762,17.0,Good,Bad,Bad,Good,Good,Bad,Good,Good,Good,Bad,Bad,Bad,-6.9903988,110.4229104,Yes,https://nomadlist.com/assets/img/places/semarang-indonesia.jpg?1642465021
332,Makati,Philippines,Asia,3.26,1742,282.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Bad,Good,Good,14.5567949,121.0211226,No,https://nomadlist.com/assets/img/places/makati-philippines.jpg?1655769815
333,Brasilia,Brazil,Latin America,3.33,1370,292.0,Good,Good,Bad,Good,Bad,Good,Good,Good,Good,Bad,Good,Bad,-10.3333333,-53.2,No,https://nomadlist.com/assets/img/places/brasilia-brazil.jpg?1642637196
334,Varanasi,India,Asia,3.14,778,208.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Bad,Bad,Good,25.3356491,83.0076292,No,https://nomadlist.com/assets/img/places/varanasi-india.jpg?1642810097
335,Thiruvananthapuram,India,Asia,3.33,899,67.0,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Bad,Bad,Good,8.5241122,76.9360573,Yes,https://nomadlist.com/assets/img/places/thiruvananthapuram-india.jpg?1653005575
336,Bismarck,United States,North America,3.26,3033,33.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,46.808327,-100.783739,No,https://nomadlist.com/assets/img/places/bismarck-nd-united-states.jpg?1653005451
337,Rochester,United States,North America,3.3,3287,183.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,43.157285,-77.615214,No,https://nomadlist.com/assets/img/places/rochester-ny-united-states.jpg?1657238772
338,Alanya,Turkey,Europe,3.22,883,358.0,Good,Good,Good,Good,Good,Good,Bad,Good,Bad,Bad,Bad,Bad,36.5436517,32.0019211,Yes,https://nomadlist.com/assets/img/places/alanya-turkey.jpg?1654301706
339,Oakland,United States,North America,3.2,3861,287.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,37.8044557,-122.2713563,No,https://nomadlist.com/assets/img/places/oakland-ca-united-states.jpg?1652918835
340,Terre Haute,United States,North America,3.25,3112,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,39.4667025,-87.4139119,No,https://nomadlist.com/assets/img/places/terre-haute-in-united-states.jpg?1653005674
341,Great Falls,United States,North America,3.24,3084,50.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,47.5048851,-111.29189,No,https://nomadlist.com/assets/img/places/great-falls-mt-united-states.jpg?1653005441
342,Fort Wayne,United States,North America,3.26,2738,17.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,41.0799898,-85.1386015,No,https://nomadlist.com/assets/img/places/fort-wayne-in-united-states.jpg?1653005305
343,Rishikesh,India,Asia,2.54,1824,236.0,Good,Bad,Bad,Good,Good,Bad,Bad,Good,Good,Bad,Bad,Bad,30.1086537,78.2916193,No,https://nomadlist.com/assets/img/places/rishikesh-india.jpg?1653007306
344,Wichita,United States,North America,3.18,3029,133.0,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,37.6922361,-97.3375448,No,https://nomadlist.com/assets/img/places/wichita-ks-united-states.jpg?1653005522
345,Langkawi,Malaysia,Asia,3.31,1272,344.0,Good,Good,Bad,Good,Good,Good,Bad,Good,Bad,Bad,Bad,Good,6.3700386,99.7928634,Yes,https://nomadlist.com/assets/img/places/langkawi-malaysia.jpg?1653005331
346,Chengdu,China,Asia,3.35,1278,280.0,Slow,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Bad,30.6598628,104.0633717,No,https://nomadlist.com/assets/img/places/chengdu-china.jpg?1642637853
347,Richland,United States,North America,3.26,3291,33.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,38.7060457,-88.0949352,No,https://nomadlist.com/assets/img/places/richland-wa-united-states.jpg?1653005430
348,Dubai,United Arab Emirates,Middle East,3.04,3352,1361.0,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Bad,Bad,25.2653471,55.2924914,Yes,https://nomadlist.com/assets/img/places/dubai-united-arab-emirates.jpg?1643069088
349,Porterville,United States,North America,3.14,3165,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,36.06523,-119.0167679,No,https://nomadlist.com/assets/img/places/porterville-ca-united-states.jpg?1652918971
350,Pekanbaru,Indonesia,Asia,3.1,691,17.0,Good,Good,Bad,Good,Good,Bad,Good,Good,Good,Bad,Bad,Bad,0.5262455,101.4515727,No,https://nomadlist.com/assets/img/places/pekanbaru-sumatra-indonesia.jpg?1642464593
351,Curitiba,Brazil,Latin America,3.22,1117,323.0,Good,Good,Bad,Good,Bad,Good,Good,Good,Good,Bad,Good,Bad,-25.4295963,-49.2712724,No,https://nomadlist.com/assets/img/places/curitiba-brazil.jpg?1655599745
352,Allahabad,India,Asia,3.05,736,17.0,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,Bad,Bad,Good,25.4381302,81.8338005,No,https://nomadlist.com/assets/img/places/allahabad-india.jpg?1653006635
353,Espoo,Finland,Europe,3.25,3070,33.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,60.2047672,24.6568435,No,https://nomadlist.com/assets/img/places/espoo-finland.jpg?1649117434
354,Montevideo,Uruguay,Latin America,3.28,2261,473.0,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Bad,-34.9058916,-56.1913095,Yes,https://nomadlist.com/assets/img/places/montevideo-uruguay.jpg?1642637005
355,Hobart,Australia,Oceania,3.37,3112,201.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,-42.8825088,147.3281233,Yes,https://nomadlist.com/assets/img/places/hobart-australia.jpg?1653869022
356,Owensboro,United States,North America,3.29,2884,17.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,37.7742152,-87.1133304,No,https://nomadlist.com/assets/img/places/owensboro-ky-united-states.jpg?1653005459
357,Fresno,United States,North America,3.17,3104,100.0,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,36.7394421,-119.7848307,No,https://nomadlist.com/assets/img/places/fresno-ca-united-states.jpg?1653005638
358,Windsor,Canada,North America,3.13,3378,117.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,42.317099,-83.0353434,No,https://nomadlist.com/assets/img/places/windsor-canada.jpg?1644106108
359,Port Louis,Mauritius,Africa,3.22,2337,181.0,Slow,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,-20.1624522,57.5028044,Yes,https://nomadlist.com/assets/img/places/port-louis-mauritius.jpg?1653005528
360,Sandpoint,United States,North America,3.19,3092,33.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,48.2765903,-116.553247,No,https://nomadlist.com/assets/img/places/sandpoint-id-united-states.jpg?1653005598
361,Cork,Ireland,Europe,3.25,3677,255.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,51.897077,-8.4654674,No,https://nomadlist.com/assets/img/places/cork-ireland.jpg?1642723725
362,Pune,India,Asia,3.22,750,269.0,Good,Good,Good,Good,Good,Bad,Bad,Good,Good,Good,Bad,Good,18.521428,73.8544541,No,https://nomadlist.com/assets/img/places/pune-india.jpg?1642465141
363,Merced,United States,North America,3.2,3073,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,37.1641544,-120.7678602,No,https://nomadlist.com/assets/img/places/merced-ca-united-states.jpg?1653005870
364,Pocatello,United States,North America,3.25,3134,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,42.8620287,-112.450627,No,https://nomadlist.com/assets/img/places/pocatello-id-united-states.jpg?1653006590
365,Boise,United States,North America,3.24,3386,267.0,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,43.6166163,-116.200886,No,https://nomadlist.com/assets/img/places/boise-id-united-states.jpg?1655514868
366,Delano,United States,North America,3.16,3187,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,35.7688425,-119.2470536,No,https://nomadlist.com/assets/img/places/delano-ca-united-states.jpg?1653005909
367,Lubbock,United States,North America,3.25,2930,117.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,33.5635206,-101.879336,No,https://nomadlist.com/assets/img/places/lubbock-tx-united-states.jpg?1653005782
368,Natal,Brazil,Latin America,3.21,830,167.0,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Bad,Good,Bad,-5.805398,-35.2080905,Yes,https://nomadlist.com/assets/img/places/natal-brazil.jpg?1652227837
369,Lancaster,United States,North America,3.16,3060,17.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,40.03813,-76.3056686,No,https://nomadlist.com/assets/img/places/lancaster-ca-united-states.jpg?1653005643
370,Montreal,Canada,North America,3.39,6227,788.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,45.5031824,-73.5698065,No,https://nomadlist.com/assets/img/places/montreal-canada.jpg?1642464123
371,Fes,Morocco,Africa,3.24,1023,240.0,Slow,Good,Bad,Good,Good,Good,Good,Good,Good,Bad,Bad,Bad,34.0346534,-5.0161926,No,https://nomadlist.com/assets/img/places/fes-morocco.jpg?1656634067
372,Bogota,Colombia,Latin America,3.42,971,826.0,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Bad,4.6533326,-74.083652,No,https://nomadlist.com/assets/img/places/bogota-colombia.jpg?1653005164
373,Tainan,Taiwan,Asia,3.17,1841,235.0,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Bad,22.9912348,120.184982,Yes,https://nomadlist.com/assets/img/places/tainan-taiwan.jpg?1653005957
374,Hof,Germany,Europe,3.15,2764,297.0,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,50.3219015,11.9178807,No,https://nomadlist.com/assets/img/places/hof-germany.jpg?1653005483
375,Burgas,Bulgaria,Europe,3.54,2059,186.0,Good,Bad,Bad,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,42.444553,27.20826453465817,Yes,https://nomadlist.com/assets/img/places/burgas-bulgaria.jpg?1653091425
376,Huizhou,China,Asia,3.22,994,0.0,Slow,Bad,Good,Good,Good,Bad,Bad,Good,Good,Good,Good,Bad,23.1146515,114.4107202,No,https://nomadlist.com/assets/img/places/huizhou-china.jpg?1642529240
377,Guiyang,China,Asia,3.13,1004,83.0,Slow,Bad,Good,Good,Good,Bad,Bad,Good,Good,Good,Good,Bad,25.7561647,112.72964,No,https://nomadlist.com/assets/img/places/guiyang-china.jpg?1653006523
378,Dongguan,China,Asia,3.22,1440,33.0,Slow,Bad,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Bad,23.0205969,113.7457788,No,https://nomadlist.com/assets/img/places/dongguan-china.jpg?1653006441
379,Rennes,France,Europe,3.1,3237,235.0,Good,Good,Bad,Good,Good,Bad,Good,Good,Good,Good,Good,Good,48.1113387,-1.6800198,No,https://nomadlist.com/assets/img/places/rennes-france.jpg?1651190758
380,Belem,Brazil,Latin America,3.19,1591,133.0,Slow,Good,Good,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,-1.45056,-48.4682453,Yes,https://nomadlist.com/assets/img/places/belem-brazil.jpg?1644970248
381,Amed,Indonesia,Asia,3.14,929,106.0,Slow,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Bad,-8.334584,115.6409359,Yes,https://nomadlist.com/assets/img/places/amed-bali-indonesia.jpg?1642637315
382,Genoa,Italy,Europe,3.21,2537,221.0,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Good,Good,Good,44.40726,8.9338624,No,https://nomadlist.com/assets/img/places/genoa-italy.jpg?1643156752
383,Madurai,India,Asia,3.14,966,125.0,Good,Good,Bad,Good,Good,Bad,Bad,Good,Good,Bad,Bad,Good,9.9261153,78.1140983,No,https://nomadlist.com/assets/img/places/madurai-india.jpg?1653005288
384,Utrecht,Netherlands,Europe,3.16,3882,488.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,52.08098560000001,5.12768396945229,No,https://nomadlist.com/assets/img/places/utrecht-netherlands.jpg?1646439427
385,Malacca,Malaysia,Asia,3.12,982,258.0,Good,Good,Bad,Good,Good,Good,Bad,Good,Bad,Good,Bad,Good,2.3293744,102.2880962,Yes,https://nomadlist.com/assets/img/places/malacca-malaysia.jpg?1643155813
386,Cavtat,Croatia,Europe,3.23,2041,150.0,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Bad,Bad,Good,42.5814314,18.2177461,No,https://nomadlist.com/assets/img/places/cavtat-croatia.jpg?1642529131
387,Pisa,Italy,Europe,3.17,2891,276.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,43.7159395,10.4018624,Yes,https://nomadlist.com/assets/img/places/pisa-italy.jpg?1642465124
388,Ipoh,Malaysia,Asia,3.22,1212,164.0,Good,Good,Bad,Good,Good,Good,Bad,Good,Bad,Good,Bad,Good,4.5986817,101.0900236,No,https://nomadlist.com/assets/img/places/ipoh-malaysia.jpg?1645401847
389,Wollongong,Australia,Oceania,3.11,3447,17.0,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,-34.4243941,150.89385,Yes,https://nomadlist.com/assets/img/places/wollongong-australia.jpg?1643414922
390,Ghent,Belgium,Europe,3.11,3069,324.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,51.0538286,3.7250121,No,https://nomadlist.com/assets/img/places/ghent-belgium.jpg?1642464928
391,Stockton,United States,North America,3.21,3019,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,37.9577016,-121.2907796,No,https://nomadlist.com/assets/img/places/stockton-ca-united-states.jpg?1653005698
392,Peoria,United States,North America,3.29,2433,50.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,40.6938609,-89.5891008,No,https://nomadlist.com/assets/img/places/peoria-il-united-states.jpg?1653005154
393,Kaunas,Lithuania,Europe,3.23,1952,238.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Good,54.8982139,23.9044817,No,https://nomadlist.com/assets/img/places/kaunas-lithuania.jpg?1643933093
394,Lake Tahoe,United States,North America,3.23,7274,286.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,39.08854049999999,-120.050352773017,No,https://nomadlist.com/assets/img/places/lake-tahoe-ca-united-states.jpg?1653005518
395,Bologna,Italy,Europe,3.15,2966,334.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,44.4938203,11.3426327,No,https://nomadlist.com/assets/img/places/bologna-italy.jpg?1642464960
396,Makassar,Indonesia,Asia,3.2,686,50.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Bad,Bad,Bad,-5.1342962,119.4124282,Yes,https://nomadlist.com/assets/img/places/makassar-indonesia.jpg?1642809846
397,Santiago,Chile,Latin America,3.19,1434,720.0,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,-33.4377756,-70.6504502,No,https://nomadlist.com/assets/img/places/santiago-chile.jpg?1642464120
398,Bath,United Kingdom,Europe,3.12,4751,241.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,51.38092635,-2.37418971512966,No,https://nomadlist.com/assets/img/places/bath-united-kingdom.jpg?1656547971
399,Scranton,United States,North America,3.37,2751,17.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,41.4086874,-75.6621294,No,https://nomadlist.com/assets/img/places/scranton-pa-united-states.jpg?1653005343
400,Billings,United States,North America,3.1,3466,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,45.7874957,-108.49607,No,https://nomadlist.com/assets/img/places/billings-mt-united-states.jpg?1657067694
401,Dothan,United States,North America,3.16,2978,17.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,31.2237434,-85.3933906,No,https://nomadlist.com/assets/img/places/dothan-al-united-states.jpg?1652918994
402,Jacksonville,United States,North America,3.23,3342,240.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,30.3321838,-81.655651,Yes,https://nomadlist.com/assets/img/places/jacksonville-fl-united-states.jpg?1653005726
403,Tulare,United States,North America,3.16,3223,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,36.2516475,-118.852583,No,https://nomadlist.com/assets/img/places/tulare-ca-united-states.jpg?1653006176
404,Oregon City,United States,North America,3.21,3224,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,45.3573429,-122.6067583,No,https://nomadlist.com/assets/img/places/oregon-city-or-united-states.jpg?1653005755
405,Schenectady,United States,North America,3.2,3309,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,42.8142432,-73.9395687,No,https://nomadlist.com/assets/img/places/schenectady-ny-united-states.jpg?1653005654
406,Grenoble,France,Europe,3.22,2854,226.0,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,45.1875602,5.7357819,No,https://nomadlist.com/assets/img/places/grenoble-france.jpg?1642465486
407,Okinawa City,Japan,Asia,3.21,2729,133.0,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,34.6634288,135.5032721,Yes,https://nomadlist.com/assets/img/places/okinawa-city-okinawa-japan.jpg?1643069321
408,Tehran,Iran,Middle East,3.03,1945,158.0,Slow,Bad,Bad,Good,Good,Good,Bad,Good,Bad,Bad,Bad,Bad,35.6892523,51.3896004,No,https://nomadlist.com/assets/img/places/tehran-iran.jpg?1642637816
409,St Catharines,Canada,North America,3.29,2937,0.0,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,43.1579812,-79.2441003,No,https://nomadlist.com/assets/img/places/st-catharines-canada.jpg?1656634602
410,Cixi,China,Asia,2.96,1238,0.0,Slow,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Bad,30.247601,121.319384515859,No,https://nomadlist.com/assets/img/places/cixi-china.jpg?1653006628
411,Bandar Seri Begawan,Brunei,Asia,3.19,1195,150.0,Slow,Bad,Bad,Good,Good,Good,Bad,Good,Bad,Good,Bad,Bad,4.8895453,114.9417574,Yes,https://nomadlist.com/assets/img/places/bandar-seri-begawan-brunei.jpg?1643155973
412,Palmdale,United States,North America,3.12,3221,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,34.5793131,-118.1171108,No,https://nomadlist.com/assets/img/places/palm-desert-ca-united-states.jpg?1653007278
413,Tel Aviv,Israel,Middle East,3.17,5500,778.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,32.0852997,34.7818064,No,https://nomadlist.com/assets/img/places/tel-aviv-israel.jpg?1644106058
414,Edinburgh,United Kingdom,Europe,3.08,5743,724.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,55.9533456,-3.1883749,No,https://nomadlist.com/assets/img/places/edinburgh-united-kingdom.jpg?1656288252
415,Cordoba,Argentina,Latin America,3.4,758,338.0,Slow,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,-31.4173391,-64.183319,No,https://nomadlist.com/assets/img/places/cordoba-argentina.jpg?1645574648
416,Ko Chang,Thailand,Asia,3.15,972,179.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Bad,12.0546168,102.3373425987221,Yes,https://nomadlist.com/assets/img/places/ko-chang-thailand.jpg?1650931548
417,Lake Charles,United States,North America,3.18,3120,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,30.2265949,-93.2173759,No,https://nomadlist.com/assets/img/places/lake-charles-la-united-states.jpg?1653005959
418,St George,United States,North America,3.16,3278,125.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,37.104153,-113.5841313,No,https://nomadlist.com/assets/img/places/st-george-ut-united-states.jpg?1652918922
419,Bielefeld,Germany,Europe,3.18,2645,183.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,52.0191005,8.531007,No,https://nomadlist.com/assets/img/places/bielefeld-germany.jpg?1642464667
420,Campinas,Brazil,Latin America,3.22,1116,175.0,Good,Good,Bad,Good,Bad,Good,Good,Good,Good,Good,Good,Bad,-22.90556,-47.06083,No,https://nomadlist.com/assets/img/places/campinas-brazil.jpg?1642529170
421,Longview,United States,North America,3.24,3017,0.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,32.5007031,-94.74049,No,https://nomadlist.com/assets/img/places/longview-tx-united-states.jpg?1653351105
422,Jakarta,Indonesia,Asia,3.35,1165,582.0,Good,Bad,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,-6.1753942,106.827183,Yes,https://nomadlist.com/assets/img/places/jakarta-indonesia.jpg?1642464278
423,Muncie,United States,North America,3.19,2891,50.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,40.1936892,-85.3865271,No,https://nomadlist.com/assets/img/places/muncie-in-united-states.jpg?1644365871
424,Belo Horizonte,Brazil,Latin America,3.14,950,358.0,Good,Bad,Good,Good,Bad,Good,Good,Good,Good,Bad,Good,Bad,-19.9227318,-43.9450948,No,https://nomadlist.com/assets/img/places/belo-horizonte-brazil.jpg?1642809881
425,Greenville,United States,North America,3.17,3231,117.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,34.851354,-82.3984882,No,https://nomadlist.com/assets/img/places/greenville-sc-united-states.jpg?1654736692
426,Bocas Del Toro,Panama,Latin America,3.2,2325,384.0,Slow,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Bad,9.3040623,-82.12848154978464,Yes,https://nomadlist.com/assets/img/places/bocas-del-toro-panama.jpg?1642464793
427,Hue,Vietnam,Asia,3.18,1005,249.0,Good,Good,Bad,Good,Good,Good,Good,Good,Bad,Good,Bad,Bad,16.4639321,107.5863388,Yes,https://nomadlist.com/assets/img/places/hue-vietnam.jpg?1642464601
428,Norwich,United Kingdom,Europe,3.05,4219,287.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,52.6285694,1.2923049,No,https://nomadlist.com/assets/img/places/norwich-united-kingdom.jpg?1642529375
429,Jiangmen,China,Asia,3.21,1605,0.0,Slow,Bad,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Bad,22.5816619,113.0761073,No,https://nomadlist.com/assets/img/places/jiangmen-china.jpg?1653006535
